sim,capex_usd,eta,wacc,brl_usd,lcoh_s1_usd_kg,lcoh_s2_usd_kg
400,918.6562765922706,0.6911006688347475,0.15250934683911294,5.449928933751621,4.602121298770188,7.245296848924702
401,932.2351925358163,0.6656148406875568,0.11594038725208686,5.289988430680706,4.862155386125788,7.49449187572443
402,782.7215177016059,0.6649042973230949,0.10823527080824634,5.701563419853507,9.40808704900107,11.771763950496222
403,864.3654474583623,0.6666038628960678,0.10673391356450965,5.441566214710077,3.6327949149578083,6.648004990539544
404,709.2585470468595,0.6842956716894921,0.09620666681819277,5.342696383086033,3.27963946647251,5.834832744462815
405,741.0403078083741,0.6540426300267289,0.11209389045120507,5.475041824533423,1.8317693590181026,4.704233796663823
406,834.3284383581989,0.7066520337312844,0.1502601853200798,5.948979067474379,4.221673249654604,6.641525885297829
407,950.3772798584789,0.6580552465559928,0.1016398247555639,6.00341125211593,11.334473038459462,13.559655099198098
408,872.2431658855571,0.6819477719290138,0.1262261734688577,6.039987212372914,3.9192915810432662,6.53949643948697
409,860.2957101758717,0.6924330118356113,0.14121627372510778,6.022160071267711,2.5656368875584525,4.6885914710216205
410,879.2200296095925,0.656571022264443,0.13720912096844406,6.153213998677373,2.553715654947034,5.367852686656582
411,936.6913813144525,0.6686859167146157,0.1319356555934995,5.807981652413322,13.152949311083805,15.445008185153846
412,948.989550299911,0.6859074861659705,0.08937543873633244,5.486189018277461,4.300123436514752,7.221755534721469
413,884.7404719074342,0.6544929329030964,0.09534953370462981,5.6956899813038575,10.276526048775967,13.106454365474605
414,905.4479380624223,0.6872450873390752,0.10985232636507802,5.020012083795094,3.7336604682776153,6.438348837042337
415,825.0522011236781,0.6823731318131597,0.12133831448474737,5.159396854856198,4.423721728633731,7.450424890375872
416,825.2914160239682,0.6859780605643245,0.12632311914365557,5.670780276942558,4.636004335936081,6.765394979710784
417,937.1049090573555,0.6628311432129421,0.12631450533870983,5.500798954401195,2.2911165764503894,4.842316543701835
418,827.8061184237337,0.6914906608227368,0.14226721011887877,5.540538000978321,2.2139021957886076,4.397088786612494
419,1000.9202834275574,0.6903556431916048,0.14090176948169505,5.573466349929068,13.918491030940741,16.46177098086258
420,916.3181729330358,0.6925470142888283,0.09856050167451641,5.846378054868118,2.2296846755281226,4.687680234382647
421,834.5139261117365,0.6834072209820741,0.12282338597383081,5.865537293454364,3.499882279098694,5.943678668700209
422,850.4882827600672,0.6857304592020096,0.11290125097135435,5.374182104075688,2.3141992849264335,5.056461543536583
423,925.8597276556267,0.6951221387329632,0.11029388329264263,5.899262353946421,10.549009249292974,13.25253961956795
424,750.9382169590782,0.7085442547619398,0.09463971585233247,6.1017824045372695,3.3666730007189467,5.493953672097804
425,776.4804117776868,0.7209292044810933,0.1137491452579967,5.033581517077001,2.9693110205413857,5.695683903810609
426,862.8596380919948,0.6704942738922035,0.10327644237025406,5.416045921326427,1.9972571416650056,4.729019054986544
427,864.6268738021095,0.6636257689666862,0.13245422447800537,5.718858875266544,11.506203245884075,13.779016249727484
428,830.9457851365861,0.6702304565034771,0.09957118754682816,6.017629557747634,9.618904001696805,12.414486433179633
429,811.2677767084322,0.6720530012485786,0.10506843306919522,5.476967751065265,4.072116518220185,6.284676697265908
430,942.3988353452227,0.6369391710589518,0.11031900727225963,5.152971596531309,4.083029651975269,7.172566444402437
431,816.3462573501176,0.6913565151209867,0.09993775967920043,5.589789192997619,3.7390975849775425,6.21945713529917
432,847.6420622218918,0.6622735704871379,0.08428267016131777,5.422111098264262,3.9018407909663786,6.728055156403002
433,797.0834431166313,0.6901200292086758,0.11797922446236155,5.6239149129739445,1.9429166504932616,4.439312309838533
434,761.0604589652348,0.6401706537398729,0.15282319078183146,5.868842076803184,12.210272676027767,15.008846166609608
435,863.0470862264281,0.6594138965041233,0.11295888784576126,6.161750447604547,3.7110287598712746,6.003999058649827
436,943.516878665104,0.6740699398595096,0.11266985959263896,5.018838523951985,4.068218576172505,6.739289242689095
437,882.5410638175174,0.6355982061397394,0.14689352240204265,5.55829257367869,5.899623441490623,9.121331217977255
438,757.5048380277342,0.6849108509169562,0.13727583649139324,5.262302382943466,4.202875611968398,6.832873717479229
439,833.7433737635371,0.6784456652520345,0.14346065067651415,5.784135495693892,4.211986332451234,6.631503309861042
440,967.0712349324301,0.7055254905204887,0.1087581934939161,5.4385587731446785,2.520091916582476,5.329612044270929
441,880.1170456290789,0.6820247337740871,0.10044325599257428,5.325282701714232,1.988376412164568,4.513593752500583
442,1039.7173379097117,0.6843662911838483,0.14731635505124097,5.35575281414605,5.259090534870051,7.989508145554095
443,802.2019189728404,0.6818758005532723,0.108307645386856,5.52068232013873,1.757375333672954,3.958542656301666
444,902.5941669382545,0.6777241359938027,0.14730297523784164,5.789358972562239,5.7327268231919275,8.613430555955327
445,995.4394426824599,0.6539849574276588,0.11269328093975058,5.350190051847904,2.855223413818448,5.40051801129727
446,907.6155412473803,0.6782309475818443,0.19852475412872653,4.904766118150424,7.289639081430132,10.755731802744002
447,791.6957443105822,0.6853998703549891,0.079061306265544,5.569357027103165,1.6974449482500271,4.22740390072672
448,818.7854196336059,0.6580489599143947,0.14514298433725145,5.369399473895133,2.171015689826421,4.9762159010421385
449,870.8964394049439,0.6535899961572681,0.12429880339877865,5.470407922103192,5.060127559954918,7.959486277180778
450,965.0391205774131,0.6770676675732118,0.09590613434343774,5.681621282029299,3.5888099605360098,6.106390806424391
451,977.4620839503509,0.6911700505906122,0.1016636431651897,5.944792580699258,3.69302011664602,6.3959187288520845
452,783.3069378828757,0.6893295083735663,0.14945341351501965,5.348805812209231,2.56451258014948,5.197449637922899
453,851.4366186293395,0.6784455112075178,0.11565432606126352,5.380819715823299,3.4672059568939617,5.853724180961172
454,783.9834856883255,0.6560952856298461,0.11789526063837465,5.1359154561762805,2.2864438950587234,5.484451719206544
455,778.8312609381372,0.7012104479687334,0.11526889425562108,5.870686044154883,1.721995538190149,3.871974622934205
456,975.2621940511693,0.6684627153425066,0.13232872845043472,5.597952594901604,4.74675224464883,7.414251517176529
457,867.1985596325985,0.7006900156925786,0.08298736716610294,5.764102843484934,3.6761683919234773,5.682637099936104
458,936.4023552107137,0.7023325342409357,0.09568804008091503,5.542924902407316,3.361398924906736,5.6763806860383035
459,869.8015061000252,0.6940853025016016,0.12577447325650046,5.033533769131512,2.045793309643427,4.606434033197551
460,836.4411727078382,0.6704014582929922,0.12336803913870946,5.46730001179188,2.384737718678719,4.842904660032743
461,861.1682556884779,0.6648083861560243,0.16161531808078378,5.006700784216523,4.913776516753954,8.032839651055886
462,815.524234863303,0.6521139614519448,0.1351453386707081,5.536998852594153,4.900232879107173,7.408249250049413
463,891.7414843400319,0.6549677764635017,0.08905392022123268,5.854807316166122,1.7909877734427389,4.233133455446479
464,813.3706201887226,0.6813017699737797,0.1073762046111324,5.614836608945104,4.114306344613888,6.580255412428745
465,859.9688981312705,0.6875321883273434,0.11468572324777082,5.9782753738769,3.653327971715518,6.093335783718057
